!x y z r th V Ex Ey Ez Er Et
702.5 78.0 -3.9 706.816984798753 6.33571586282292 -3467.80681939045 -7603.87736529684 -767.652262447694 -563.38639597309 -7642.14901701876 76.153687986112
702.5 78.0 -3.7 706.816984798753 6.33571586282292 -3774.47771644128 -6789.45726462062 -759.182289609171 2743.10839559116 -6831.76840799939 -5.30249256970112
702.5 78.0 -3.5 706.816984798753 6.33571586282292 -4487.04602737547 -6259.96598276456 -717.320063196826 3803.43843871594 -6300.89140980319 -22.1273654658823
702.5 78.0 -3.3 706.816984798753 6.33571586282292 -5310.09917063491 -5794.30925841747 -657.047699524154 4571.19855228988 -5831.42746035555 -13.6101522261721
702.5 78.0 -3.1 706.816984798753 6.33571586282292 -6242.61911719876 -5724.60971087095 -648.51711827832 5036.10641225905 -5761.21222988434 -12.823288542177
702.5 78.0 -2.9 706.816984798753 6.33571586282292 -7297.79706760034 -5999.4356501683 -689.505110139306 5569.59997508382 -6038.88281497566 -23.2328304397076
702.5 78.0 -2.7 706.816984798753 6.33571586282292 -8407.43244096308 -6609.29852295964 -757.488402204171 5451.10470202668 -6652.5230843029 -23.5001678154456
702.5 78.0 -2.5 706.816984798753 6.33571586282292 -9496.71137812882 -7226.79826660831 -815.982745165998 5165.51871690405 -7272.70643882292 -13.4937528225658
702.5 78.0 -2.3 706.816984798753 6.33571586282292 -10443.1138360117 -7576.67068325167 -832.590658566769 4587.66835224717 -7622.27470790967 8.60954926289397
702.5 78.0 -2.1 706.816984798753 6.33571586282292 -11314.2486282268 -7895.33246524309 -849.644899251241 3767.12124032811 -7940.87221966369 26.825035295894
702.5 78.0 -1.9 706.816984798753 6.33571586282292 -12011.995157618 -7947.11199205155 -853.713870293706 3083.97597138293 -7992.78452244275 28.4949879980981
702.5 78.0 -1.7 706.816984798753 6.33571586282292 -12517.371387791 -7661.84788192817 -821.672386036627 2368.57863252706 -7705.72680099949 28.8607716543128
702.5 78.0 -1.5 706.816984798753 6.33571586282292 -13024.5685939936 -7459.87477955671 -813.879003183688 1734.53820064148 -7504.12724787182 14.318038879278
702.5 78.0 -1.3 706.816984798753 6.33571586282292 -13279.9786946073 -7122.30656630306 -790.023698463347 1389.3378871503 -7165.98825472506 0.775680286310155
